average_withdrawn,balance_std,balance_mean,date_diff,amount_loan,duration,disp,status
1380.4793650793652,4168.729384185478,17558.7,21,193646.06586420993,24,0,0
1453.5272727272725,5779.86204613468,23648.62307692308,10,120888.98984653718,12,0,1
2058.600000000001,5582.67604095098,30313.279838709677,27,516994.0494338083,24,0,0
5723.256603773584,11961.389764314898,49640.44,15,385764.9070705531,12,0,0
1637.1145299145314,9954.962738145263,27558.120408163264,47,359465.16179801873,48,0,0
12100.0,16648.715007548304,35311.86153846154,4,8057.726093459729,12,0,1
994.904,7145.898033348202,20782.16607142857,14,90865.18006625034,12,0,1
5057.935714285711,10452.874698430456,41623.98642533937,39,808011.2441106598,48,0,0
5362.30192307692,10068.888751037626,38711.61954022988,33,612936.7872591028,24,0,0
6755.036986301366,11831.896534735519,44445.36324786325,43,893607.5176708652,48,0,0
7909.1401459854,14005.84809684495,34495.164414414416,41,265822.1970497052,48,0,0
2830.596899224805,6712.28654824352,24505.14811320755,39,432142.4256520999,48,0,0
3697.330158730157,9464.422580118877,35945.536723163845,25,425417.2890731523,24,0,0
13362.335211267617,25917.535343656313,64057.862,32,391129.322005996,24,0,0
7963.71612903226,12302.5874724203,47728.70307692308,16,369976.4501133196,12,0,0
7137.75267175572,14573.01458285562,60322.367136150235,40,1247053.5188175598,48,0,0
7815.082840236686,17282.1875161593,54321.24435483871,40,790274.7729008042,48,0,0
1304.0629629629639,5396.817341999662,21336.89294605809,42,442816.8470064682,48,0,0
5620.612658227844,12201.694233460485,42214.86598360656,42,748082.0557007949,48,0,0
1414.447204968945,4819.697591851457,26628.725316455697,39,662583.8751773584,48,0,0
1917.1302013422821,7788.76190638248,24650.123076923075,38,344758.7720380083,48,0,0
7266.666666666667,9638.095321650995,22486.561538461538,4,12841.483580638189,12,0,1
6699.896491228067,12934.311217318167,60865.8627118644,31,1084914.44859407,24,0,0
1378.5561403508784,3739.084054919873,17494.048730964467,44,440698.7473294877,48,0,0
5778.731086142325,18679.528995850604,47380.02471590909,41,410859.63569252304,48,0,0
3826.899999999998,8228.673066986572,34392.08947368421,32,573911.7868707541,24,0,0
6654.987500000001,13767.78428607808,42637.22580645161,7,105711.60064006818,12,0,1
1528.0512820512818,4524.550096275461,17425.292307692307,19,159147.65018768632,24,0,0
1159.8666666666663,3571.243870757124,15664.096629213484,20,170432.17775398472,24,0,0
1689.84,5051.813620389335,17725.196875,10,76215.69634221333,12,0,1
5066.108510638295,7705.224566461974,31509.127672955972,32,515157.7132810248,24,0,0
5941.771428571427,13177.031639928775,44657.94220183486,19,347773.699517569,24,0,0
3411.092413793101,9960.021500889017,40433.163133640555,33,676932.9643514631,24,0,0
991.694488188977,4598.368215627782,20520.227040816328,37,418969.1525537483,48,0,0
1499.8731034482769,4569.669172534256,25276.470689655172,45,726170.9555063997,48,0,0
