loan_id,num_transactions,total_withdrawn,average_withdrawn,balance_std,balance_mean,amount_loan,duration,status,disp
4959,54,200844.59999999998,6276.393750000001,12061.705681876094,32590.624074074072,80952,24,1,1
4961,80,226324.80000000002,6656.611764705884,15039.248404932323,25197.0925,30276,12,0,0
4973,125,789552.4,8972.18636363636,20955.646998372446,52523.2448,165960,24,1,0
4996,31,190733.0,12715.533333333333,21638.258869671175,62778.09032258065,88440,12,1,1
5002,30,85630.6,4757.2555555555555,11517.175248212317,38709.829999999994,104808,12,1,1
5032,61,260479.60000000003,6678.964102564103,20572.457529737083,49084.381967213114,123696,48,1,0
5044,70,160567.8,3734.134883720931,9576.327716908689,35614.74428571429,100980,60,1,0
5045,88,451311.39999999997,9026.227999999997,22038.48158908669,42084.31136363636,187224,24,0,0
5060,61,319518.0,9129.085714285715,21418.913855883657,57340.50819672131,252060,60,0,0
5082,56,166646.0,5207.687500000001,16330.173222315432,41729.61607142857,262980,60,1,0
5088,77,344249.0,7483.673913043478,13400.064096640634,44829.54415584415,91152,24,1,0
5125,51,51582.99999999999,1842.2499999999998,6550.595429955129,23255.149019607845,73056,48,1,1
5126,64,261411.80000000002,7468.908571428573,22812.186440376034,36369.975,208128,48,0,0
5128,61,156526.59999999998,5049.245161290322,13056.987306542755,21447.624590163938,215616,48,0,0
5130,78,178798.6,4360.941463414635,7695.862800862465,29380.839743589742,24312,12,1,0
5131,117,688579.2,10126.164705882351,25825.858181660515,63857.236752136756,48624,24,1,0
5132,58,234862.6,6523.961111111112,13408.02036465337,33687.85862068966,538500,60,1,0
5136,25,201829.2,22425.466666666667,34581.40134837078,66292.372,187104,24,1,0
5138,148,205694.0,1922.3738317757015,6554.760512834303,30847.14932432432,87216,48,1,0
5145,35,279107.80000000005,14689.884210526317,21979.384405419012,56105.5,309552,48,1,0
5148,94,647844.8,11169.73793103448,20167.802429516258,64182.6414893617,284280,60,1,1
5151,30,233029.0,14564.3125,24683.06321415813,72242.89666666667,189060,60,1,0
5160,65,231318.2,5782.955000000001,12656.782825432134,37809.39846153846,204000,60,1,0
5161,14,30700.0,10233.333333333334,19672.650902026955,41660.392857142855,98184,24,1,0
5170,41,203628.0,10181.4,26552.739504598183,47302.546341463414,253200,60,1,0
5176,51,136135.0,5445.4,13015.026674865436,23979.011764705883,192552,24,0,0
5189,54,170898.00000000003,5026.411764705883,12658.246764300018,36845.58888888889,149040,48,1,0
5208,108,616222.6,9781.311111111108,28762.206936050658,46341.29351851852,99696,48,0,0
5209,40,172602.80000000002,7504.469565217392,14199.381522847558,37802.229999999996,182640,48,1,0
5212,86,194848.8,3418.400000000001,9923.171541124484,34577.3023255814,71064,36,1,0
5237,90,321820.6,5645.975438596491,11574.102240004077,48152.95333333333,45336,24,1,0
5269,65,373395.4,10091.767567567567,30609.38988808058,41752.161538461536,164052,36,0,0
5282,120,419816.80000000005,6360.860606060606,21196.682131732654,21371.32,388512,48,0,0
5285,51,70804.0,2622.3703703703704,7684.869705311071,25900.31960784314,78936,12,1,0
5301,10,21200.0,7066.666666666667,17970.97897715462,32592.68,141948,36,1,0
5310,120,306647.6,3694.549397590361,10761.578895609015,36063.78833333333,248148,36,1,0
5311,186,427623.2,3032.788652482269,11270.503745870139,37213.40752688172,30060,60,1,0
5312,79,596766.0,11259.735849056604,23297.66357464454,57124.26835443038,202788,36,1,0
5314,4,0.0,0.0,8330.8663014919,12250.0,96396,12,0,0
5316,37,177684.80000000002,8884.240000000002,29122.05945394563,52083.85945945946,165960,36,1,0
5319,46,204742.4,7312.228571428573,16062.53213841481,40061.580434782605,239460,60,1,0
5325,25,86017.20000000001,7168.100000000001,14151.260443037105,41297.48,105804,36,1,0
5329,95,688055.0,11661.949152542373,20275.14198096615,58855.27789473684,396120,60,1,0
5337,15,75800.0,15160.0,24180.888923925817,51279.55333333334,162468,36,1,1
