amount_loan,duration,payments,status,balance,date_diff,type_credit,type_withdrawal,disp_disponent,disp_no_disponent
80952,24,3373,1,1100.0,0.0,1,0,1,0
80952,24,3373,1,21336.0,1209600.0,1,0,1,0
80952,24,3373,1,25036.0,1382400.0,1,0,1,0
80952,24,3373,1,25049.5,259200.0,1,0,1,0
80952,24,3373,1,45285.5,1036800.0,1,0,1,0
80952,24,3373,1,34285.5,0.0,0,1,1,0
80952,24,3373,1,34394.9,1555200.0,1,0,1,0
80952,24,3373,1,54630.9,1036800.0,1,0,1,0
80952,24,3373,1,37030.9,2592000.0,0,1,1,0
80952,24,3373,1,37175.6,1641600.0,1,0,1,0
80952,24,3373,1,67529.6,1036800.0,1,0,1,0
80952,24,3373,1,45129.6,2592000.0,0,1,1,0
80952,24,3373,1,45289.5,1555200.0,1,0,1,0
80952,24,3373,1,42089.5,1296000.0,0,1,1,0
80952,24,3373,1,62325.5,1036800.0,1,0,1,0
80952,24,3373,1,49180.5,691200.0,0,1,1,0
80952,24,3373,1,38880.5,604800.0,0,1,1,0
80952,24,3373,1,39068.9,432000.0,0,1,1,0
80952,24,3373,1,39083.5,1641600.0,1,0,1,0
80952,24,3373,1,31802.9,432000.0,0,1,1,0
80952,24,3373,1,28902.9,172800.0,0,1,1,0
80952,24,3373,1,49138.9,1036800.0,1,0,1,0
80952,24,3373,1,27852.9,1296000.0,0,1,1,0
80952,24,3373,1,26852.9,259200.0,0,1,1,0
80952,24,3373,1,26991.8,518400.0,0,1,1,0
80952,24,3373,1,27006.4,1641600.0,1,0,1,0
80952,24,3373,1,19725.8,432000.0,0,1,1,0
80952,24,3373,1,39961.8,1036800.0,1,0,1,0
80952,24,3373,1,36361.8,777600.0,0,1,1,0
80952,24,3373,1,31861.8,864000.0,0,1,1,0
80952,24,3373,1,21661.8,172800.0,0,1,1,0
80952,24,3373,1,21774.0,345600.0,0,1,1,0
80952,24,3373,1,21788.6,1555200.0,1,0,1,0
80952,24,3373,1,17774.0,259200.0,0,1,1,0
80952,24,3373,1,10508.0,172800.0,0,1,1,0
80952,24,3373,1,30744.0,1036800.0,1,0,1,0
80952,24,3373,1,27744.0,1641600.0,0,1,1,0
80952,24,3373,1,27830.4,604800.0,0,1,1,0
80952,24,3373,1,27845.0,1641600.0,1,0,1,0
80952,24,3373,1,20564.4,432000.0,0,1,1,0
